Location,Component,COMP_DEVICE_TYPE,SYM_MIRROR,SYM_X,SYM_Y,SYM_ROTATE
TC6,1120-00109,C_C1005_DISCRETE_47PF/50V,T,89.1462,99.9043,0.0
TC8,1120-00009,C_C1005_DISCRETE_0.5PF/50V,T,81.1462,108.5033,180.0
TL1,1180-00686,L_L2012_DISCRETE_22UH,T,87.7212,81.4793,0.0
TR5,1215-00546,R_R1005_DISCRETE_68R,T,82.1222,102.0743,180.0
U1,1175-01441,M3533_1_LQFP128_P0_4_B14X14_EP7,T,45.4633,61.1008,225.0
U206,1175-01226,NT5CB64M16DP-CF_BGA96N_P08_W9X1,T,22.7503,59.4477,270.0
U207,1175-01673,MP8128_1_QFN3X3_20P_040_MP8128,T,100.5462,63.4793,270.0
U5,1175-01268,M3031_0_QFN16-P0_5-B3X3-EP1_7_M,T,85.7462,100.6533,270.0
U7,1175-01452,CH455G_0_SOP127_060_16P_ET6226M,T,64.5517,31.0532,270.0
U8,1175-01709,TPS62110-QFN16H_2_TSSOP8P-P0_5-,T,23.8962,85.4483,270.0
U81,1175-01712,MX35LF1GE4AB-Z4I_3_LGA8P_6X8_S3,T,51.7962,31.504,0.0
U83,1175-01510,AMP-DRV603-TSOP14_TSSOP14-065-6,T,67.5962,91.0983,90.0
W1,1325-00046,TPS62110-QFN16H_1_6192E-UC_IC_F,T,90.75,40.9,180.0
Y1,1255-00136,XTAL-1G3G_XTALS4_3M2X2M5_DISCRE,T,59.4983,53.0038,315.0
